Nodes,1 Thread (Pure MPI),2 Threads,4 Threads,8 Threads,16 Threads (Hybrid)
1,1,1,1,1,1
2,1.08,1.07,1.04,1.12,1.29
4,1.43,1.28,1.29,1.4,1.7
8,1.3,1.12,1.12,1.2,1.63
